Traffic,Topology,PeakThroughput,InjectionAtPeakTP,LowLoadInjection,LowLoadLatency,KneeFactor,KneeInjectionRate
shuffle,Cluster3D_Hub,0.235127,0.5,0.02,12.5318,2.0,0.44
shuffle,Hier3D_Chiplet,0.214247,0.5,0.02,12.9217,2.0,0.4
shuffle,Mesh3D_XYZ,0.21169,0.5,0.02,14.0311,2.0,0.32
shuffle,Mesh_XY,0.217757,0.5,0.02,13.0478,2.0,0.4
shuffle,PillarTorusExpress3D,0.232482,0.5,0.02,11.2777,2.0,0.4
shuffle,SW3D_Express,0.249788,0.5,0.02,10.2659,2.0,
shuffle,Sparse3D_Pillars,0.219053,0.5,0.02,11.7852,2.0,0.24
shuffle,Sparse3D_Pillars_torus,0.249856,0.5,0.02,11.7769,2.0,
shuffle,Torus3D,0.249837,0.5,0.02,14.0232,2.0,
tornado,Cluster3D_Hub,0.249872,0.5,0.02,9.5009,2.0,
tornado,Hier3D_Chiplet,0.249868,0.5,0.02,10.013,2.0,
tornado,Mesh3D_XYZ,0.249872,0.5,0.02,9.5009,2.0,
tornado,Mesh_XY,0.228955,0.5,0.02,12.5092,2.0,0.38
tornado,PillarTorusExpress3D,0.249877,0.5,0.02,8.4991,2.0,
tornado,SW3D_Express,0.249873,0.5,0.02,9.2505,2.0,
tornado,Sparse3D_Pillars,0.249872,0.5,0.02,9.5009,2.0,
tornado,Sparse3D_Pillars_torus,0.249877,0.5,0.02,8.4991,2.0,
tornado,Torus3D,0.249877,0.5,0.02,8.4991,2.0,
transpose,Cluster3D_Hub,0.179473,0.5,0.02,13.5511,2.0,0.26
transpose,Hier3D_Chiplet,0.173916,0.5,0.02,13.0608,2.0,0.28
transpose,Mesh3D_XYZ,0.153376,0.5,0.02,16.3224,2.0,0.22
transpose,Mesh_XY,0.178328,0.5,0.02,15.5709,2.0,0.24
transpose,PillarTorusExpress3D,0.209291,0.5,0.02,11.5347,2.0,0.36
transpose,SW3D_Express,0.230675,0.5,0.02,11.0974,2.0,0.28
transpose,Sparse3D_Pillars,0.158716,0.5,0.02,13.0648,2.0,0.2
transpose,Sparse3D_Pillars_torus,0.249566,0.5,0.02,11.5237,2.0,0.5
transpose,Torus3D,0.209891,0.46,0.02,14.0319,2.0,0.38
uniform_random,Cluster3D_Hub,0.169791,0.34,0.02,13.6895,2.0,0.36
uniform_random,Hier3D_Chiplet,0.164142,0.4,0.02,13.4322,2.0,0.34
uniform_random,Mesh3D_XYZ,0.24869,0.5,0.02,16.2777,2.0,0.5
uniform_random,Mesh_XY,0.249759,0.5,0.02,15.52,2.0,
uniform_random,PillarTorusExpress3D,0.184627,0.5,0.02,11.8157,2.0,0.36
uniform_random,SW3D_Express,0.247788,0.5,0.02,11.1801,2.0,0.5
uniform_random,Sparse3D_Pillars,0.109857,0.22,0.02,13.339,2.0,0.24
uniform_random,Sparse3D_Pillars_torus,0.249798,0.5,0.02,11.7858,2.0,
uniform_random,Torus3D,0.249785,0.5,0.02,13.9806,2.0,
