Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Mesh3D_XYZ,transpose,0.020,0.009959,31874,31869,12.5455,3.7571
Mesh3D_XYZ,transpose,0.060,0.029984,95969,95950,12.5986,3.7542
Mesh3D_XYZ,uniform_random,0.040,0.019906,63719,63699,12.5309,3.7456
Mesh3D_XYZ,uniform_random,0.060,0.029935,95802,95791,12.5621,3.7502
Mesh3D_XYZ,transpose,0.040,0.019957,63870,63861,12.5688,3.7544
Mesh3D_XYZ,uniform_random,0.100,0.049866,159604,159571,12.6083,3.7528
Mesh3D_XYZ,uniform_random,0.080,0.039833,127496,127465,12.5755,3.7467
Mesh3D_XYZ,transpose,0.120,0.059927,191803,191765,12.7444,3.7777
Mesh3D_XYZ,uniform_random,0.180,0.089788,287385,287323,12.6959,3.7578
Mesh3D_XYZ,uniform_random,0.200,0.099807,319463,319382,12.7159,3.7576
Mesh3D_XYZ,transpose,0.080,0.039916,127758,127730,12.6406,3.7593
Mesh3D_XYZ,uniform_random,0.260,0.129897,415776,415670,12.7840,3.7606
Mesh3D_XYZ,uniform_random,0.020,0.009930,31785,31777,12.5398,3.7592
Mesh3D_XYZ,uniform_random,0.300,0.149828,479559,479451,12.8333,3.7641
Mesh3D_XYZ,uniform_random,0.380,0.189732,607295,607143,12.9580,3.7793
Mesh3D_XYZ,uniform_random,0.120,0.059819,191465,191422,12.6224,3.7501
Mesh3D_XYZ,transpose,0.160,0.079976,255981,255922,12.8817,3.8064
Mesh3D_XYZ,uniform_random,0.240,0.119932,383853,383781,12.7592,3.7575
Mesh3D_XYZ,transpose,0.100,0.049964,159922,159885,12.6907,3.7682
Mesh3D_XYZ,uniform_random,0.340,0.169814,543529,543405,12.8942,3.7711
Mesh3D_XYZ,uniform_random,0.320,0.159761,511352,511235,12.8717,3.7713
Mesh3D_XYZ,transpose,0.220,0.110015,352129,352047,13.1909,3.8692
Mesh3D_XYZ,transpose,0.200,0.099950,319915,319839,13.0700,3.8466
Mesh3D_XYZ,uniform_random,0.460,0.229779,735461,735293,13.1081,3.7982
Mesh3D_XYZ,uniform_random,0.140,0.069807,223429,223381,12.6469,3.7521
Mesh3D_XYZ,transpose,0.280,0.139978,448032,447928,13.8068,3.9364
Mesh3D_XYZ,uniform_random,0.500,0.249803,799563,799369,13.1970,3.8087
Mesh3D_XYZ,uniform_random,0.400,0.199698,639206,639033,12.9863,3.7806
Mesh3D_XYZ,transpose,0.140,0.069971,223956,223906,12.8039,3.7889
Mesh3D_XYZ,uniform_random,0.360,0.179730,575281,575136,12.9220,3.7735
Mesh3D_XYZ,neighbor,0.040,0.019958,63870,63865,8.5077,1.7538
Mesh3D_XYZ,uniform_random,0.160,0.079819,255476,255420,12.6678,3.7527
Mesh3D_XYZ,transpose,0.320,0.159969,512039,511902,15.4086,3.9610
Mesh3D_XYZ,transpose,0.300,0.150005,480137,480015,14.3022,3.9570
Mesh3D_XYZ,neighbor,0.060,0.029987,95969,95957,8.5071,1.7536
Mesh3D_XYZ,neighbor,0.120,0.059931,191803,191778,8.5049,1.7524
Mesh3D_XYZ,transpose,0.180,0.089978,287998,287930,12.9702,3.8262
