Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Sparse3D_Pillars_Z2,uniform_random,0.060,0.029867,19131,19115,14.7276,4.1685
Sparse3D_Pillars_Z2,uniform_random,0.020,0.009970,6387,6381,14.6270,4.1708
Sparse3D_Pillars_Z1,uniform_random,0.080,0.039822,25513,25486,13.5224,4.1519
Sparse3D_Pillars_Z1,uniform_random,0.120,0.059777,38312,38257,13.7579,4.1956
Sparse3D_Pillars_Z1,uniform_random,0.140,0.069484,44515,44470,13.8809,4.2176
Sparse3D_Pillars_Z2,uniform_random,0.100,0.049878,31970,31922,15.0463,4.2387
Sparse3D_Pillars_Z1,uniform_random,0.240,0.119608,76649,76549,17.1196,4.4414
Sparse3D_Pillars_Z1,uniform_random,0.180,0.089622,57428,57358,14.3014,4.2928
Sparse3D_Pillars_Z1,uniform_random,0.220,0.109562,70205,70120,15.0253,4.3493
Sparse3D_Pillars_Z1,uniform_random,0.340,0.026488,17527,16952,2025.4423,4.7653
Sparse3D_Pillars_Z1,uniform_random,0.400,0.027584,18231,17654,2434.5031,4.6767
Sparse3D_Pillars_Z1,uniform_random,0.500,0.022514,15011,14409,2985.9866,4.8225
Sparse3D_Pillars_Z1,uniform_random,0.280,0.032994,21710,21116,977.1125,4.7179
Sparse3D_Pillars_Z1,uniform_random,0.300,0.026478,17573,16946,1514.9485,4.8495
Sparse3D_Pillars_Z1,uniform_random,0.420,0.022734,15176,14550,2285.8658,4.8036
Sparse3D_Pillars_Z1,uniform_random,0.060,0.029870,19131,19117,13.4340,4.1375
Sparse3D_Pillars_Z2,uniform_random,0.140,0.069475,44515,44464,15.6194,4.3117
Sparse3D_Pillars_Z1,uniform_random,0.100,0.049881,31970,31924,13.6286,4.1734
Sparse3D_Pillars_Z1,uniform_random,0.480,0.022406,14980,14340,2599.8596,4.8617
Sparse3D_Pillars_Z2,uniform_random,0.160,0.079442,50920,50843,16.3471,4.3526
Sparse3D_Pillars_Z1,uniform_random,0.260,0.049322,32182,31566,444.5965,4.6262
Sparse3D_Pillars_Z2,uniform_random,0.180,0.089603,57428,57346,22.9034,4.4912
Sparse3D_Pillars_Z2,uniform_random,0.080,0.039820,25513,25485,14.8398,4.1942
Sparse3D_Pillars_Z2,uniform_random,0.200,0.030000,19811,19200,1106.2795,4.6201
Sparse3D_Pillars_Z2,uniform_random,0.220,0.020313,13592,13000,2175.0442,4.8023
Sparse3D_Pillars_Z2,uniform_random,0.240,0.018650,12530,11936,2316.6541,4.7466
Sparse3D_Pillars_Z2,uniform_random,0.040,0.019681,12618,12596,14.5953,4.1361
Sparse3D_Pillars_Z2,uniform_random,0.300,0.017609,11869,11270,2310.5922,4.7912
Sparse3D_Pillars_Z2,uniform_random,0.320,0.017359,11709,11110,2505.0266,4.7970
Sparse3D_Pillars_Z1,uniform_random,0.380,0.027442,18153,17563,2536.6379,4.7364
Sparse3D_Pillars_Z2,uniform_random,0.340,0.020058,13446,12837,2569.7866,4.6627
Sparse3D_Pillars_Z1,uniform_random,0.020,0.009970,6387,6381,13.3901,4.1677
Sparse3D_Pillars_Z2,uniform_random,0.360,0.016564,11226,10601,2629.6697,4.8445
Sparse3D_Pillars_Z1,uniform_random,0.320,0.027353,18086,17506,2339.6061,4.7587
Sparse3D_Pillars_Z2,uniform_random,0.380,0.019472,13036,12462,3434.0241,4.7986
Sparse3D_Pillars_Z2,uniform_random,0.260,0.017752,11954,11361,2095.4558,4.8287
Sparse3D_Pillars_Z4,uniform_random,0.040,0.019672,12618,12590,17.2207,4.1725
Sparse3D_Pillars_Z1,uniform_random,0.160,0.079456,50920,50852,14.0434,4.2470
Sparse3D_Pillars_Z2,uniform_random,0.460,0.016855,11401,10787,3033.5225,4.8471
Sparse3D_Pillars_Z1,uniform_random,0.040,0.019683,12618,12597,13.3452,4.1223
Sparse3D_Pillars_Z1,uniform_random,0.200,0.099555,63801,63715,14.5702,4.3222
Sparse3D_Pillars_Z1,uniform_random,0.460,0.022202,14818,14209,2502.5981,4.8331
Sparse3D_Pillars_Z4,uniform_random,0.100,0.049856,31970,31908,19.4505,4.3687
Sparse3D_Pillars_Z2,uniform_random,0.120,0.059766,38312,38250,15.3064,4.2759
Sparse3D_Pillars_Z2,uniform_random,0.500,0.016652,11243,10657,3608.7933,4.9086
Sparse3D_Pillars_Z4,uniform_random,0.120,0.058225,37448,37264,84.6948,4.5194
Sparse3D_Pillars_Z4,uniform_random,0.140,0.013058,9007,8357,1759.6943,4.7947
Sparse3D_Pillars_Z1,uniform_random,0.360,0.027552,18242,17633,2244.2807,4.7091
Sparse3D_Pillars_Z4,uniform_random,0.180,0.012806,8845,8196,2603.5317,4.7698
Sparse3D_Pillars_Z4,uniform_random,0.200,0.011870,8250,7597,2748.6495,4.8785
