Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Sparse3D_Pillars_Z2,uniform_random,0.040,0.019681,12618,12596,14.6056,4.1400
Sparse3D_Pillars_Z1,uniform_random,0.020,0.009970,6387,6381,13.3915,4.1677
Sparse3D_Pillars_Z1,uniform_random,0.080,0.039822,25513,25486,13.5257,4.1526
Sparse3D_Pillars_Z2,uniform_random,0.100,0.049878,31970,31922,15.0626,4.2344
Sparse3D_Pillars_Z2,uniform_random,0.140,0.069477,44515,44465,15.6453,4.2839
Sparse3D_Pillars_Z1,uniform_random,0.160,0.079456,50920,50852,14.0463,4.2332
Sparse3D_Pillars_Z1,uniform_random,0.140,0.069484,44515,44470,13.8778,4.2100
Sparse3D_Pillars_Z1,uniform_random,0.240,0.119611,76649,76551,22.3769,4.3677
Sparse3D_Pillars_Z1,uniform_random,0.300,0.033261,21791,21287,1982.7492,4.4597
Sparse3D_Pillars_Z1,uniform_random,0.380,0.030038,19767,19224,2681.6648,4.5189
Sparse3D_Pillars_Z1,uniform_random,0.500,0.025369,16755,16236,2721.4900,4.6295
Sparse3D_Pillars_Z1,uniform_random,0.320,0.029808,19585,19077,2708.1729,4.5262
Sparse3D_Pillars_Z1,uniform_random,0.460,0.027394,18030,17532,3022.4079,4.5459
Sparse3D_Pillars_Z1,uniform_random,0.360,0.029522,19419,18894,2293.2391,4.5011
Sparse3D_Pillars_Z1,uniform_random,0.180,0.089623,57428,57359,14.2884,4.2686
Sparse3D_Pillars_Z2,uniform_random,0.080,0.039822,25513,25486,14.8584,4.1966
Sparse3D_Pillars_Z2,uniform_random,0.120,0.059766,38312,38250,15.3203,4.2632
Sparse3D_Pillars_Z2,uniform_random,0.160,0.079444,50920,50844,16.4898,4.3127
Sparse3D_Pillars_Z1,uniform_random,0.220,0.109562,70205,70120,15.1449,4.3053
Sparse3D_Pillars_Z1,uniform_random,0.260,0.122747,78777,78558,174.6659,4.3099
Sparse3D_Pillars_Z2,uniform_random,0.200,0.035138,22984,22488,1165.0509,4.4160
Sparse3D_Pillars_Z1,uniform_random,0.060,0.029870,19131,19117,13.4430,4.1395
Sparse3D_Pillars_Z2,uniform_random,0.220,0.021117,14080,13515,2212.8738,4.6353
Sparse3D_Pillars_Z1,uniform_random,0.200,0.099559,63801,63718,14.6374,4.2925
Sparse3D_Pillars_Z2,uniform_random,0.280,0.019169,12781,12268,2151.1858,4.6159
Sparse3D_Pillars_Z1,uniform_random,0.480,0.025658,16921,16421,2586.0496,4.6230
Sparse3D_Pillars_Z2,uniform_random,0.020,0.009970,6387,6381,14.6275,4.1702
Sparse3D_Pillars_Z2,uniform_random,0.300,0.019423,12940,12431,2389.4209,4.5963
Sparse3D_Pillars_Z1,uniform_random,0.120,0.059777,38312,38257,13.7503,4.1896
Sparse3D_Pillars_Z2,uniform_random,0.380,0.022389,14817,14329,3481.5667,4.4778
Sparse3D_Pillars_Z2,uniform_random,0.340,0.024678,16301,15794,2854.7565,4.3237
Sparse3D_Pillars_Z2,uniform_random,0.260,0.018856,12611,12068,1974.1287,4.6168
Sparse3D_Pillars_Z2,uniform_random,0.360,0.020545,13680,13149,3406.5826,4.5427
Sparse3D_Pillars_Z2,uniform_random,0.420,0.018761,12546,12007,3657.0251,4.6266
Sparse3D_Pillars_Z2,uniform_random,0.440,0.020398,13623,13055,3483.0873,4.5980
Sparse3D_Pillars_Z2,uniform_random,0.240,0.023984,15859,15350,2570.7978,4.4328
Sparse3D_Pillars_Z2,uniform_random,0.460,0.017261,11555,11047,3160.0993,4.7159
Sparse3D_Pillars_Z1,uniform_random,0.420,0.029352,19332,18785,3119.9362,4.5094
Sparse3D_Pillars_Z2,uniform_random,0.320,0.022528,14951,14418,3327.4439,4.4881
Sparse3D_Pillars_Z1,uniform_random,0.040,0.019683,12618,12597,13.3458,4.1222
Sparse3D_Pillars_Z4,uniform_random,0.020,0.009970,6387,6381,17.1553,4.1787
Sparse3D_Pillars_Z1,uniform_random,0.100,0.049881,31970,31924,13.6387,4.1732
Sparse3D_Pillars_Z2,uniform_random,0.400,0.021120,14025,13517,3529.8788,4.4912
Sparse3D_Pillars_Z1,uniform_random,0.400,0.027459,18085,17574,2280.3719,4.5325
Sparse3D_Pillars_Z2,uniform_random,0.060,0.029867,19131,19115,14.7465,4.1722
Sparse3D_Pillars_Z4,uniform_random,0.080,0.039814,25513,25481,18.1720,4.2808
Sparse3D_Pillars_Z4,uniform_random,0.100,0.049850,31970,31904,19.8204,4.3354
Sparse3D_Pillars_Z1,uniform_random,0.280,0.032261,21167,20647,1768.0371,4.4607
Sparse3D_Pillars_Z1,uniform_random,0.440,0.026805,17690,17155,2356.5204,4.6033
Sparse3D_Pillars_Z4,uniform_random,0.140,0.014541,9870,9306,2561.0621,4.5112
Sparse3D_Pillars_Z4,uniform_random,0.240,0.014027,9486,8977,3442.9177,4.5358
Sparse3D_Pillars_Z1,uniform_random,0.340,0.029967,19662,19179,2508.3262,4.5106
Sparse3D_Pillars_Z4,uniform_random,0.280,0.014586,9909,9335,3433.3034,4.4906
Sparse3D_Pillars_Z4,uniform_random,0.180,0.012369,8437,7916,2733.7321,4.6100
Sparse3D_Pillars_Z4,uniform_random,0.260,0.012714,8664,8137,3297.5704,4.5911
Sparse3D_Pillars_Z4,uniform_random,0.200,0.013247,9011,8478,3085.7720,4.5749
Sparse3D_Pillars_Z4,uniform_random,0.380,0.013405,9165,8579,3823.3585,4.5869
Sparse3D_Pillars_Z4,uniform_random,0.340,0.013875,9427,8880,3453.6309,4.4894
